,Id,Start timestamp,End timestamp,Cpu_count,Avg_cpu_usage,Memory,Hostname,duration,cpu_model
0,ichnos_cpu_low_mem_high_w01_t01,1780338222000,1780338830218,0.057612,0.322153,2164727808,hu-worker-c44,608218,Intel Xeon Silver 4314
1,ichnos_cpu_low_mem_high_w01_t02,1780338222000,1780338830218,0.043694,0.23215,2164731904,hu-worker-c40,608218,Intel Xeon Silver 4314
2,ichnos_cpu_low_mem_high_w01_t03,1780338222000,1780338830219,0.069382,0.464735,2164723712,hu-worker-c42,608219,Intel Xeon Silver 4314
3,ichnos_cpu_low_mem_high_w01_t04,1780338222000,1780338830219,0.041016,0.243114,2164727808,hu-worker-c45,608219,Intel Xeon Silver 4314
4,ichnos_cpu_low_mem_high_w02_t01,1780338831000,1780339438332,0.076804,0.454082,2164711424,hu-worker-c45,607332,Intel Xeon Silver 4314
5,ichnos_cpu_low_mem_high_w02_t02,1780338831000,1780339440836,0.070709,0.374314,2164736000,hu-worker-c42,609836,Intel Xeon Silver 4314
6,ichnos_cpu_low_mem_high_w02_t03,1780338831000,1780339439481,0.063901,0.357188,2164723712,hu-worker-c40,608481,Intel Xeon Silver 4314
7,ichnos_cpu_low_mem_high_w02_t04,1780338831000,1780339439482,0.0404,0.214925,2164727808,hu-worker-c44,608482,Intel Xeon Silver 4314
8,ichnos_cpu_low_mem_high_w03_t01,1780339442000,1780340049147,2.9e-05,0.002236,2164744192,hu-worker-c45,607147,Intel Xeon Silver 4314
9,ichnos_cpu_low_mem_high_w03_t02,1780339442000,1780340049148,2.8e-05,0.002292,2164727808,hu-worker-c40,607148,Intel Xeon Silver 4314
10,ichnos_cpu_low_mem_high_w03_t03,1780339442000,1780340050479,3e-05,0.002158,2164723712,hu-worker-c42,608479,Intel Xeon Silver 4314
11,ichnos_cpu_low_mem_high_w03_t04,1780339442000,1780340049149,3.2e-05,0.002339,2164744192,hu-worker-c44,607149,Intel Xeon Silver 4314
12,ichnos_cpu_low_mem_high_w04_t01,1780340051000,1780340659775,2.8e-05,0.002317,2164736000,hu-worker-c45,608775,Intel Xeon Silver 4314
13,ichnos_cpu_low_mem_high_w04_t02,1780340051000,1780340658645,2.7e-05,0.002359,2164723712,hu-worker-c42,607645,Intel Xeon Silver 4314
14,ichnos_cpu_low_mem_high_w04_t03,1780340051000,1780340659776,2.7e-05,0.002313,2164719616,hu-worker-c44,608776,Intel Xeon Silver 4314
15,ichnos_cpu_low_mem_high_w04_t04,1780340051000,1780340659777,3.1e-05,0.002418,2164731904,hu-worker-c40,608777,Intel Xeon Silver 4314
