,Id,Start timestamp,End timestamp,Cpu_count,Avg_cpu_usage,Memory,Hostname,duration,cpu_model
0,ichnos_cpu_high_mem_high_w01_t01,1781729969000,1781730575257,4.000577,389.396959,2162614272,hu-worker-c42,606257,Intel Xeon Silver 4314
1,ichnos_cpu_high_mem_high_w01_t02,1781729969000,1781730575258,4.000012,387.465958,2162552832,hu-worker-c40,606258,Intel Xeon Silver 4314
2,ichnos_cpu_high_mem_high_w01_t03,1781729969000,1781730578789,4.000144,393.841039,2162495488,hu-worker-c45,609789,Intel Xeon Silver 4314
3,ichnos_cpu_high_mem_high_w01_t04,1781729969000,1781730576945,4.00018,385.827235,2162544640,hu-worker-c44,607945,Intel Xeon Silver 4314
4,ichnos_cpu_high_mem_high_w02_t01,1781730580000,1781731187681,3.99958,376.785834,2162573312,hu-worker-c44,607681,Intel Xeon Silver 4314
5,ichnos_cpu_high_mem_high_w02_t02,1781730580000,1781731187682,4.000162,385.652408,2162634752,hu-worker-c45,607682,Intel Xeon Silver 4314
6,ichnos_cpu_high_mem_high_w02_t03,1781730580000,1781731186534,3.999488,370.757931,2162544640,hu-worker-c40,606534,Intel Xeon Silver 4314
7,ichnos_cpu_high_mem_high_w02_t04,1781730580000,1781731189035,4.000348,384.855577,2162520064,hu-worker-c42,609035,Intel Xeon Silver 4314
8,ichnos_cpu_high_mem_high_w03_t01,1781731190000,1781731795673,4.000367,392.229176,2162540544,hu-worker-c42,605673,Intel Xeon Silver 4314
9,ichnos_cpu_high_mem_high_w03_t02,1781731190000,1781731796304,4.000248,381.774099,2162511872,hu-worker-c44,606304,Intel Xeon Silver 4314
10,ichnos_cpu_high_mem_high_w03_t03,1781731190000,1781731797886,4.000266,399.448224,2162585600,hu-worker-c40,607886,Intel Xeon Silver 4314
11,ichnos_cpu_high_mem_high_w03_t04,1781731190000,1781731796306,3.999822,389.832616,2162503680,hu-worker-c45,606306,Intel Xeon Silver 4314
12,ichnos_cpu_high_mem_high_w04_t01,1781731799000,1781732404906,4.000564,380.153548,2162491392,hu-worker-c44,605906,Intel Xeon Silver 4314
13,ichnos_cpu_high_mem_high_w04_t02,1781731799000,1781732404907,4.000225,374.33183,2162667520,hu-worker-c45,605907,Intel Xeon Silver 4314
14,ichnos_cpu_high_mem_high_w04_t04,1781731799000,1781732405556,4.000009,383.512041,2162548736,hu-worker-c40,606556,Intel Xeon Silver 4314
15,ichnos_cpu_high_mem_high_w04_t03,1781731800000,1781732405555,3.99984,353.662866,2162655232,hu-worker-c42,605555,Intel Xeon Silver 4314
